gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),CXCL5,DNMT3B,HESX1,IDO1,LCK,NANOG,POU5F1,SOX2,TRIM22
0.15,LAP,0.0025,30,1500,27G,2,1.65,0.24,0.09,0.3,0.21,0.92,0.28,0.16,1.31
0.15,LAP,0.0025,50,1500,27G,2,1.95,0.2,0.12,0.33,0.17,0.66,0.44,0.31,0.58
0.15,LAP,0.0025,70,1500,27G,2,2.01,0.25,0.1,0.34,0.16,0.59,0.46,0.35,0.48
0.15,LAP,0.0025,90,1500,27G,2,1.89,0.29,0.1,0.36,0.26,1.07,0.34,0.22,1.45
0.175,LAP,0.0025,30,1500,27G,2,1.88,0.24,0.14,0.34,0.27,1.02,0.23,0.15,1.38
0.175,LAP,0.0025,50,1500,27G,2,2.02,0.23,0.16,0.34,0.16,0.52,0.43,0.23,0.36
0.175,LAP,0.0025,70,1500,27G,2,2.02,0.2,0.13,0.32,0.17,0.56,0.37,0.26,0.35
0.175,LAP,0.0025,90,1500,27G,2,0.5,0.09,0.06,0.05,0.08,0.34,0.08,0.04,0.7
0.1,LAP,0.005,30,1500,27G,2,0.43,0.17,0.16,0.21,0.13,0.74,0.21,0.33,1.07
0.1,LAP,0.005,50,1500,27G,2,3.57,0.53,0.35,0.45,0.21,1.9,0.61,0.3,3.06
0.1,LAP,0.005,70,1500,27G,2,3.65,0.54,0.25,0.42,0.23,1.94,0.61,0.32,3.06
0.1,LAP,0.005,90,1500,27G,2,0.7,0.24,0.2,0.33,0.17,0.59,0.22,0.41,1.3
0.125,LAP,0.005,30,1500,27G,2,0.48,0.14,0.17,0.15,0.09,0.3,0.3,0.22,0.77
0.125,LAP,0.005,50,1500,27G,2,3.67,0.36,0.11,0.53,0.19,1.09,0.64,0.3,2.86
0.125,LAP,0.005,70,1500,27G,2,4.46,0.42,0.14,0.65,0.21,1.46,0.7,0.29,2.89
0.125,LAP,0.005,90,1500,27G,2,0.39,0.02,0.17,0.11,0.08,0.18,0.08,0.05,0.49
0.15,LAP,0.005,30,1500,27G,2,2.32,0.31,0.13,0.43,0.19,0.94,0.42,0.24,1.72
0.15,LAP,0.005,50,1500,27G,2,0.57,0.05,0.06,0.06,0.05,0.18,0.17,0.05,0.07
0.15,LAP,0.005,70,1500,27G,2,0.58,0.05,0.06,0.1,0.07,0.16,0.17,0.05,0.12
0.15,LAP,0.005,90,1500,27G,2,2.01,0.22,0.11,0.14,0.13,0.71,0.33,0.13,2.04
0.175,LAP,0.005,30,1500,27G,2,1.29,0.2,0.07,0.21,0.08,0.51,0.3,0.16,0.84
0.175,LAP,0.005,50,1500,27G,2,1.13,0.07,0.09,0.15,0.11,0.24,0.23,0.08,0.19
0.175,LAP,0.005,70,1500,27G,2,1.63,0.1,0.08,0.21,0.13,0.24,0.25,0.09,0.23
0.175,LAP,0.005,90,1500,27G,2,1.57,0.2,0.07,0.2,0.08,0.5,0.23,0.16,0.96
